PLMN,Network
344030,Antigua and Barbuda-APUA
344050,Antigua and Barbuda-Digicel
36276,Former Netherlands Antilles-Digicel
64130,Uganda-Anupam Global Soft Uganda Limited
28967,Abkhazia-Aquafon
50541,Australia-Aqura Technologies Pty
26022,Poland-Arcomm
310710,United States of America-ASTAC
312760,United States of America-ASTAC
23292,Austria-ArgoNET
311200,United States of America-ARINC
50543,Australia-Arrow Energy Pty Ltd
312750,United States of America-Artemis Networks LLC
313440,"United States of America-Arvig Enterprises, Inc."
43250,Iran-Shatel
28213,Georgia-Asanet Ltd
41800,Iraq-Asia Cell
46605,Taiwan-APTG
312210,"United States of America-Aspenta International, Inc."
40409,India-Reliance
40438,India-cellone
405026,India-TATA DOCOMO
405751,India-Vodafone India
405824,India-Videocon Datacom
405845,India-IDEA
405875,India-Uninor
405881,India-S Tel
20892,France-Com4Innov
23007,"Czech Republic-ASTELNET, s.r.o."
43803,Turkmenistan-AGTS CDMA
90144,Worldwide-AT&T Inc.
334010,Mexico-AT&T
334040,Mexico-Unefon
334070,Mexico-Unefon
334080,Mexico-Unefon
310016,United States of America-AT&T
310030,United States of America-AT&T
310070,United States of America-AT&T
310080,United States of America-AT&T
310090,United States of America-AT&T
310150,United States of America-AT&T
310170,United States of America-AT&T
310280,United States of America-AT&T
310380,United States of America-AT&T
310560,United States of America-AT&T
310670,United States of America-AT&T
310680,United States of America-AT&T
310950,United States of America-AT&T
311070,United States of America-AT&T
311090,United States of America-AT&T
311180,United States of America-AT&T
311190,United States of America-AT&T
312090,United States of America-AT&T
312670,United States of America-FirstNet
312680,United States of America-AT&T
313210,United States of America-AT&T
344930,Antigua and Barbuda-AT&T Wireless
61802,Liberia-Libercell
61403,Niger-Moov
62301,Central African Republic-Moov
25510,Ukraine-Atlantis Telecom LLC
50520,Australia-Ausgrid Corporation
732130,Colombia-AVANTEL
47002,Bangladesh-Robi
334130,"Mexico-Axtel, S.A.B. de C.V."
43202,Iran-Azartel
90136,Worldwide-Azerfon
62304,Central African Republic-Azur
40211,Bhutan-B-Mobile
42521,Israel-Bezeq International
43604,Tajikistan-Babilon-M
43610,Tajikistan-Babilon-T
24817,Estonia-Baltergo OÜ
23823,Denmark-GSM-R DK
47009,Bangladesh-ollo
47010,Bangladesh-Banglalion
22852,Switzerland-Barablu
502151,Malaysia-SalamFone
25012,Russian Federation-Baykalwestcom
302652,Canada-BC Tel Mobility (Telus)
90113,Worldwide-GSM.AQ
25028,Russian Federation-Beeline
22858,Switzerland-beeone
90155,Worldwide-Beezz Communication Solutions Ltd.
42523,Israel-Beezz Communication Solutions Ltd.
25704,Belarus-life:)
25703,Belarus-DIALLOG
90158,Worldwide-BICS
20600,Belgium-Proximus
302630,Canada-Aliant Mobility
61604,Benin-BBCOM
302640,Canada-Bell
302690,Canada-Bell
302655,Canada-MTS
302660,Canada-MTS
732102,Colombia-Bellsouth Colombia
25706,Belarus-beCloud
25705,Belarus-byfly
311570,United States of America-BendBroadband
61601,Benin-Libercom
35000,Bermuda-One
21422,Spain-DIGI mobil
24704,Latvia-Beta Telecom
42520,Israel-Bezeq
25050,Russian Federation-MTS
47007,Bangladesh-Airtel
41305,Sri Lanka-Airtel
50531,Australia-BHP Billiton
20628,Belgium-BICS
311970,United States of America-Big River Broadband
40475,India-cellone
40503,India-Reliance
40436,India-Reliance
405752,India-Vodafone India
24705,Latvia-Bite
24434,Finland-Bittium Wireless
64701,French Indian Ocean Territories (France)-Maoré Mobile
313270,United States of America-Blackstar Management
22298,Italy-BLU
62010,Ghana-Blu
302330,Canada-Blue Canada Wireless Inc.
27010,Luxembourg-Blue Communications
73006,Chile-Telsur
311440,United States of America-Bluegrass Cellular LLC
311800,United States of America-Bluegrass Cellular LLC
311810,United States of America-Bluegrass Cellular LLC
53007,New Zealand-Bluereach Limited
54411,American Samoa (USA)-Bluesky
54927,Samoa-Bluesky
23473,United Kingdom-Bluewave Communications Ltd
23473,Isle of Man (UK)-Bluewave Communications Ltd.
54002,Solomon Islands-BeMobile
36294,Former Netherlands Antilles-Bayòs
90141,Worldwide-BodyTrace Netherlands B.V.
